nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
ip-172-31-31-147,1697529451,1697529460,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,2,0.391,NA,TRUE,499920.1;288648.1,0.001,NA,FALSE
ip-172-31-31-147,1697529451,1697529460,groupby,G1_1e7_1e2_0_0,10000000,max v1 - min v2 by id3,100000,2,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,1,0.406,NA,TRUE,399882,0.001,NA,FALSE
ip-172-31-31-147,1697529451,1697529461,groupby,G1_1e7_1e2_0_0,10000000,max v1 - min v2 by id3,100000,2,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,2,0.407,NA,TRUE,399882,0.001,NA,FALSE
ip-172-31-31-147,1697529451,1697529461,groupby,G1_1e7_1e2_0_0,10000000,largest two v3 by id6,200000,2,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,1,0.286,NA,TRUE,19700451,0.001,NA,FALSE
ip-172-31-31-147,1697529451,1697529462,groupby,G1_1e7_1e2_0_0,10000000,largest two v3 by id6,200000,2,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,2,0.269,NA,TRUE,19700451,0,NA,FALSE
ip-172-31-31-147,1697529451,1697529462,groupby,G1_1e7_1e2_0_0,10000000,regression v1 v2 by id2 id4,10000,3,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,1,0.505,NA,TRUE,9.838641,0,NA,FALSE
ip-172-31-31-147,1697529451,1697529463,groupby,G1_1e7_1e2_0_0,10000000,regression v1 v2 by id2 id4,10000,3,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,2,0.513,NA,TRUE,9.838641,0.001,NA,FALSE
ip-172-31-31-147,1697529451,1697529466,groupby,G1_1e7_1e2_0_0,10000000,sum v3 count by id1:id6,10000000,8,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,1,3.384,NA,TRUE,499976651;10000000,0.06,NA,FALSE
ip-172-31-31-147,1697529451,1697529469,groupby,G1_1e7_1e2_0_0,10000000,sum v3 count by id1:id6,10000000,8,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,2,2.447,NA,TRUE,499976651;10000000,0.061,NA,FALSE
ip-172-31-31-147,1697529451,1697529492,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1,10,2,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,1,0.072,NA,TRUE,29998597,0.002,NA,FALSE
